name,id
ABHD10,NR_073571
ABHD11,NM_001145364
ABHD11,NM_001301058
ABHD11,NM_148912
ABHD11,NM_148913
ABHD11,NR_135627
ABHD11,NR_169872
ABHD11,XM_054359115
ABHD11,XM_054359116
ABHD11,XM_054359117
ABHD11,XM_054359118
ABHD11,XM_054359119
ABHD11-AS1,NR_026690
ABHD12,NM_001042472
ABHD12,NM_015600
ABHD12,XM_054323328
ABHD12,XM_054323329
ABHD12,XM_054323330
ABHD12,XM_054323331
ABHD12,XM_054323332
ABHD12,XM_054323333
ABHD12,XM_054323334
ABHD12,XM_054323335
ABHD12,XM_054323336
ABHD12B,NM_001206673
ABHD12B,NM_181533
ABHD12B,NM_181814
ABHD12B,XM_054375461
ABHD12B,XM_054375462
ABHD12B,XM_054375463
ABHD12B,XM_054375464
ABHD13,NM_032859
ABHD13,XM_054375074
ABHD14A,NM_015407
ABHD14A-ACY1,NM_001316331
ABHD14B,NM_001146314
ABHD14B,NM_001254753
ABHD14B,NM_032750
ABHD15,NM_198147
ABHD16A,NM_001177515
ABHD16A,NM_021160
ABHD16A,NR_033488
ABHD16A,NR_033489
ABHD16B,NM_080622
ABHD17A,NM_001130111
ABHD17A,NM_031213
ABHD17A,XM_054322270
ABHD17A,XM_054322271
ABHD17A,XM_054322272
ABHD17B,NM_001025780
ABHD17B,NM_016014
ABHD17B,XM_054363051
ABHD17B,XM_054363052
ABHD17B,XM_054363053
ABHD17B,XM_054363054
ABHD17B,XM_054363055
ABHD17B,XM_054363056
ABHD17C,NM_021214
ABHD18,NM_001039717
ABHD18,NM_001319305
ABHD18,NM_001319306
ABHD18,NM_001319307
ABHD18,NM_001358451
ABHD18,NM_001358454
ABHD18,NM_001366037
ABHD18,NM_001366038
ABHD18,NM_001366039
ABHD18,NM_001366040
ABHD18,NM_001366041
ABHD18,NM_001366042
ABHD18,NM_001366043
ABHD18,NM_001366044
ABHD18,NM_001366045
ABHD18,NM_001366046
ABHD18,NM_001366047
ABHD18,NM_001366048
ABHD18,NM_025097
ABHD2,NM_001416412
ABHD2,NM_001416413
ABHD2,NM_001416414
ABHD2,NM_001416415
ABHD2,NM_001416416
ABHD2,NM_001416417
ABHD2,NM_001416418
ABHD2,NM_001416419
ABHD2,NM_001416420
ABHD2,NM_001416421
ABHD2,NM_001416422
ABHD2,NM_001416423
ABHD2,NM_001416424
ABHD2,NM_007011
ABHD2,NM_152924
ABHD3,NM_001308256
ABHD3,NM_001308257
ABHD3,NM_138340
ABHD3,XM_054318231
ABHD3,XM_054318232
ABHD3,XM_054318233
ABHD3,XM_054318234
ABHD3,XM_054318235
ABHD4,NM_001392009
ABHD4,NM_022060
ABHD4,NR_171624
ABHD4,NR_171625
ABHD4,NR_171626
ABHD5,NM_001355186
ABHD5,NM_001365649
ABHD5,NM_001365650
ABHD5,NM_016006
ABHD5,NR_158560
ABHD5,XM_054346719
ABHD5,XR_008486728
ABHD5,XR_008486729
ABHD5,XR_008486730
ABHD6,NM_001320126
ABHD6,NM_020676
ABHD6,XM_054347368
ABHD6,XM_054347369
ABHD6,XM_054347370
ABHD6,XM_054347371
ABHD8,NM_024527
ABI1,NM_001012750
ABI1,NM_001012751
ABI1,NM_001012752
ABI1,NM_001178116
ABI1,NM_001178119
ABI1,NM_001178120
ABI1,NM_001178121
ABI1,NM_001178122
ABI1,NM_001178123
ABI1,NM_001178124
ABI1,NM_001178125
ABI1,NM_001348029
ABI1,NM_001348030
ABI1,NM_001348031
ABI1,NM_001348032
